2, 2opt (fs), g2opt (bs)
1, 193009.0000, 191078.0000
2, 188114.0000, 186258.0000
3, 188685.0000, 186353.0000
4, 186142.0000, 183021.0000
5, 189169.0000, 187739.0000
6, 189588.0000, 188207.0000
7, 187388.0000, 185627.0000
8, 190890.0000, 188773.0000
9, 186200.0000, 184559.0000
10, 186632.0000, 185038.0000
11, 188949.0000, 186905.0000
12, 190751.0000, 189300.0000
13, 187162.0000, 185027.0000
14, 183898.0000, 182232.0000
15, 188473.0000, 186838.0000
16, 189152.0000, 188083.0000
17, 187358.0000, 185937.0000
18, 188347.0000, 186815.0000
19, 190641.0000, 188872.0000
20, 187783.0000, 186585.0000
