4, greedy, g2opt (fs), g2opt (bs), f2opt
1, 0.475, 42.8051, 43.7212, 0.9088
2, 0.4184, 44.4132, 46.5803, 0.8463
3, 0.4125, 40.1408, 39.1418, 0.7813
4, 0.4151, 40.1059, 41.7478, 0.8636
5, 0.4073, 43.7636, 44.0488, 0.8005
6, 0.4327, 44.1494, 42.6546, 0.8024
7, 0.4034, 42.4796, 42.3427, 0.8548
8, 0.5034, 42.0904, 43.4669, 0.8337
9, 0.4743, 42.1042, 43.4135, 0.7058
10, 0.4272, 43.384, 44.5624, 0.7447
11, 0.5064, 39.4039, 40.1128, 0.836
12, 0.4606, 45.3489, 42.6725, 0.8713
13, 0.5196, 39.8647, 41.7389, 0.9069
14, 0.4564, 46.9182, 45.0771, 0.9602
15, 0.4423, 35.9018, 36.9634, 0.9397
16, 0.3952, 37.9469, 38.578, 0.8454
17, 0.409, 42.2651, 42.7732, 0.9885
18, 0.4951, 41.9349, 42.6335, 0.7531
19, 0.4524, 44.55, 44.3989, 0.6893
20, 0.4086, 44.8283, 46.0258, 0.874
