2, g2opt (bs), vns, fvns
1, 43.7212, 120.0263, 120.008
2, 46.5803, 120.0066, 120.0266
3, 39.1418, 120.0264, 120.0255
4, 41.7478, 120.0046, 120.0249
5, 44.0488, 120.0211, 120.0151
6, 42.6546, 120.011, 120.0233
7, 42.3427, 120.0252, 120.0175
8, 43.4669, 120.0065, 120.022
9, 43.4135, 120.025, 120.0086
10, 44.5624, 120.018, 120.0194
11, 40.1128, 120.0089, 120.0012
12, 42.6725, 120.0172, 120.0248
13, 41.7389, 120.0094, 120.0214
14, 45.0771, 120.0169, 120.021
15, 36.9634, 120.0005, 120.0144
16, 38.578, 120.0173, 120.0191
17, 42.7732, 120.0036, 120.0232
18, 42.6335, 120.0228, 120.0197
19, 44.3989, 120.0183, 120.0041
20, 46.0258, 120.0246, 120.0147
